,neighbourhood,dist
2106,farsouth,0.19416095011902168
1637,central,0.022980154549524495
501,west,0.054579308891912245
2611,west,0.02969779559360616
4914,central,0.013250807036557078
2105,north,0.09589922639478976
6177,central,0.017416426703546584
4531,west,0.03128934679918972
2256,north,0.06853989914727991
5037,central,0.01637120884723843
82,west,0.05632003479330632
4604,west,0.025549971724440644
5342,farnorth,0.1145313968792789
196,north,0.06667929339097237
4200,farnorth,0.12530230050210048
1544,northwest,0.16392339764389227
3186,south,0.051321060697538404
6387,west,0.06467756064787086
3162,farnorth,0.1353852881782912
2745,west,0.05003160720104216
2970,central,0.008666738666879087
1854,west,0.06654774009024575
4290,farnorth,0.1110424232404844
5207,farnorth,0.1306015684711299
4203,farnorth,0.08296830145977031
6527,west,0.06483564191954658
428,north,0.07706545347377787
239,west,0.044191337059644294
3023,north,0.08607704311324477
943,north,0.09392823319491889
6107,central,0.011382192720210413
4677,south,0.06068878248177508
1178,south,0.0685949743867619
1060,farnorth,0.16517758358541365
870,west,0.030857671576445502
3448,south,0.05478437075590512
582,west,0.05334094576513975
2784,southwest,0.09841306002315278
4955,central,0.013928521497988752
4903,southwest,0.14924162716588063
2328,south,0.053681781482360046
2696,south,0.10818006137509795
1550,north,0.06433546100805879
2874,central,0.018484133929401816
342,south,0.04568564701435799
3043,central,0.0010457567212332102
5742,farsouth,0.19611083031572285
3039,central,0.0018670444879575413
3641,north,0.03687147839617915
1384,north,0.06813230234711952
1197,north,0.07408724656187021
2545,west,0.06928587653425218
2921,central,0.013742340671085105
792,northwest,0.13345648695330437
2246,central,0.010899243557235903
3132,farnorth,0.20180438855267405
3715,north,0.04654606130619009
3230,central,0.01333834709099757
2139,farnorth,0.12540820617136278
3974,west,0.023113370137643318
4286,west,0.06630380302154144
2646,north,0.07637260534458117
4852,north,0.06615336078476254
1736,farnorth,0.1209664360354516
5398,northwest,0.11584017810379646
1305,northwest,0.13203291574118234
3210,farnorth,0.10046919993270734
2947,north,0.06196288249524595
4245,central,0.019759950382528334
2902,west,0.05296853789864057
1877,west,0.024232774812632467
694,central,0.012583631555322928
2228,farnorth,0.14352524900908353
3344,central,0.007271140152684042
4833,west,0.05245390074264732
587,west,0.06433147216657976
1256,northwest,0.11089465627846162
5935,central,0.027915793363615136
3866,central,0.01498250363323738
4070,west,0.0213183334977179
2463,southwest,0.10865380541481287
2461,west,0.0631011966219319
4297,central,0.005785754844445835
946,north,0.044217960322920864
6220,south,0.1225599771178249
1771,west,0.044228837098876615
4167,west,0.06613644731249871
5513,central,0.011314120342302423
1953,north,0.05032966170280544
5301,central,0.013661597238975568
2688,southwest,0.06366749417967871
2065,west,0.03672626786266169
2927,farnorth,0.22336301500274724
881,north,0.03182127890453104
2886,south,0.048473341117772364
988,northwest,0.14428305222415083
2233,north,0.07705235943901499
548,farnorth,0.1293512502572705
6433,central,0.025978935552881156
5140,farnorth,0.11559869673624666
5557,farnorth,0.15627704806246823
5783,central,0.026803627350041145
5277,south,0.065855323058354
795,north,0.08364549244950124
5066,central,0.013580277726174417
5651,south,0.04324988433649666
3295,west,0.049364306529301086
6298,central,0.005330040067392414
4124,south,0.09546520873658873
4332,south,0.11844046889099988
4995,central,0.005568713237366543
763,central,0.018830955979982612
3818,central,0.02228781243460052
5337,west,0.014303452139950434
4060,central,0.00653640775349604
592,west,0.053132184663532485
6256,north,0.07967921756091083
3587,south,0.13326349762452486
6476,central,0.00453748429750575
4740,north,0.06644735491439269
206,south,0.09018972508618155
3267,central,0.012672914704989418
2987,south,0.09536400532235129
1416,north,0.08487683853160029
2983,northwest,0.13196804531066444
3304,central,0.012738459212948415
5860,central,0.009780282568522949
2764,west,0.05111509795666022
6366,north,0.05889104580165766
4253,farnorth,0.10496268951927408
102,west,0.04184612210372826
589,north,0.05687807316637947
5091,south,0.0463315582202943
3388,west,0.03389389371434129
1228,north,0.04362881423003768
5324,northwest,0.12659688302291222
5408,north,0.05520763968074899
5029,farnorth,0.11106630336478725
4370,north,0.05921002272521202
5177,south,0.1300771379110176
5961,west,0.03207378230143747
4796,south,0.052259637495111144
4392,central,0.02865610006822884
5940,north,0.07145386482982988
1554,north,0.06817030919043725
3886,south,0.10024953026882678
1941,northwest,0.10203330600896089
5861,west,0.06340840063523594
5640,north,0.07369665250959143
5978,west,0.07397213745133403
4913,north,0.08448490008942179
4052,south,0.07149914728946152
958,north,0.07382028685340485
2019,west,0.045997116943555495
1299,west,0.04781972822089478
2075,central,0.014760610255672456
5122,west,0.05031795638854678
4259,central,0.017991295204062167
5812,west,0.057950223805608825
4898,central,0.011489603610220013
6491,central,0.018270365675602307
192,farnorth,0.11382936801686894
2157,west,0.09809919693412186
2663,central,0.025206203822076046
2971,south,0.05046916427998241
6329,west,0.03937715661546926
6350,central,0.01898206843629208
6356,northwest,0.11615859692298812
2344,west,0.06422732713665089
5563,southwest,0.06741843937024554
5746,farnorth,0.17922625174374393
238,west,0.06071799824697385
304,west,0.048094145497347585
2893,west,0.12119202838106884
3004,west,0.023090370094900416
2076,west,0.04151946347340018
2961,west,0.08533795577068418
2624,north,0.07681287865403205
3361,west,0.09685835120998884
5548,west,0.01694510097697344
6336,central,0.002387440199609366
4870,north,0.08572786524298402
4405,farnorth,0.14008693680396087
3780,west,0.057112583404353046
5724,west,0.0292562962450245
5996,central,0.02410548168197736
5903,north,0.07718456855563022
4499,west,0.044294096933109456
783,west,0.05981601229704368
4541,north,0.07194305731006093
392,north,0.08836914420270527
2045,north,0.07499619072406336
5818,central,0.018221708567534207
2435,north,0.09034217278280847
1561,west,0.061237084116732336
5415,south,0.054047142895071495
5130,west,0.025794325870614858
280,farsouth,0.16752744999886574
1026,central,0.03034892998311005
557,west,0.029764783471745125
3812,west,0.05771125885925028
3671,south,0.11230668540973197
5248,central,0.0271577501115189
1016,northwest,0.11998238493677693
1915,north,0.10782819627128093
2831,central,0.017183613226559112
2608,north,0.10628448029283263
2968,south,0.050291511879439046
4484,north,0.0705218951469613
5918,north,0.035364207090213276
846,farnorth,0.11079964497740602
