,review1,review2,review3,id,host_acceptance_rate,host_is_superhost,host_identity_verified,accommodates,bedrooms,price,minimum_nights,maximum_nights,has_availability,availability_90,number_of_reviews,number_of_reviews_ltm,instant_bookable,host_days,response_score,neighbourhood_farnorth,neighbourhood_farsouth,neighbourhood_farsouthwest,neighbourhood_north,neighbourhood_northwest,neighbourhood_south,neighbourhood_southwest,neighbourhood_west,dist,property_group_0,property_group_1,property_group_2,property_group_3,property_group_4,room_type_entire_home/apt,room_type_hotel_room,room_type_private_room,room_type_shared_room,crowdedness,crowdedness_diff,crowdedness_ratio,crowdedness_adj_ratio,long_term_stays_allowed,gym,patio_or_balcony,paid_parking_off_premises,coffee_maker,first_aid_kit,fire_extinguisher,private_entrance,bbq_grill,lockbox,indoor_fireplace,hangers,elevator,dishwasher,laundromat_nearby,heating,bathtub,air_conditioning,hot_water,hair_dryer,free_street_parking,oven,shower_gel,free_parking_on_premises,lock_on_bedroom_door,dryer,keypad,washer,outdoor_furniture,room-darkening_shades,baking_sheet,wine_glasses,tv,bathrooms_privacy,bathrooms
2106,-0.8404769299867947,0.1388808429895888,-0.05022575453406041,27398741,0.73,1,1,6,3.0,135.0,3,1125,1,78,46,14,0,4669,1,0,1,0,0,0,0,0,0,0.19416095011902168,0,1,0,0,0,1,0,0,0,1,3.0,2.0,1.0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1.5
1637,-0.5824883004609127,-0.6955037034118521,-0.7186127235127138,22407641,1.0,0,1,4,1.0,250.0,1,1125,1,0,0,0,0,2280,0,0,0,0,0,0,0,0,0,0.022980154549524495,0,0,1,0,0,1,0,0,0,1,3.0,4.0,3.0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1.0
501,-0.9610846908697188,-0.0682797777366027,-0.035976616014017276,7810030,1.0,1,1,6,2.0,83.0,1,1125,1,59,407,60,0,1399,0,0,0,0,0,0,0,0,1,0.054579308891912245,0,1,0,0,0,1,0,0,0,1,4.0,3.0,2.0,1,0,1,0,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,1,0,1.0
2611,-1.2187406402489387,-0.14740572561057494,0.039628053210408784,32501823,0.91,1,1,4,1.0,41.0,2,1125,1,72,94,20,0,2538,1,0,0,0,0,0,0,0,1,0.02969779559360616,0,1,0,0,0,0,0,1,0,1,3.0,4.0,3.0,1,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,2.0
4914,-0.6286112760409123,0.08053631364324175,0.5801458329220703,48135056,0.94,0,1,6,1.0,103.0,2,365,1,62,50,50,1,399,1,0,0,0,0,0,0,0,0,0.013250807036557078,0,1,0,0,0,1,0,0,0,1,5.0,6.0,5.0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1.0
2105,0.7012716717889554,-0.05306322240017581,-0.33090676827341614,27396530,0.27,0,1,5,2.0,89.0,14,1125,1,88,25,0,0,2296,0,0,0,0,1,0,0,0,0,0.09589922639478976,0,1,0,0,0,1,0,0,0,1,3.0,2.5,1.5,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,1.0
6177,0.6982807980880912,0.15089160446004848,0.6713818744430097,52731010,0.98,0,1,2,1.0,88.0,32,1125,1,72,0,0,1,1828,1,0,0,0,0,0,0,0,0,0.017416426703546584,0,1,0,0,0,1,0,0,0,1,1.0,2.0,1.0,1,1,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1.0
4531,1.246547748642737,-1.114021960595273,-0.25808902458948474,45991867,1.0,0,1,7,3.0,130.0,10,1125,1,0,5,4,1,437,1,0,0,0,0,0,0,0,1,0.03128934679918972,0,1,0,0,0,1,0,0,0,1,4.0,2.3333333333333335,1.3333333333333333,1,0,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1.0
2256,-1.3482290751490975,0.05293447678027173,0.13742535841480386,28612926,1.0,1,1,4,1.0,85.0,2,1125,1,0,143,23,0,3119,0,0,0,0,1,0,0,0,0,0.06853989914727991,0,1,0,0,0,1,0,0,0,1,3.0,4.0,3.0,1,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1.0
5037,-1.5088481137851837,-0.19638219813289595,0.056043478269774065,48563615,0.98,0,1,2,1.031413612565445,126.0,30,1125,1,10,0,0,1,1828,1,0,0,0,0,0,0,0,0,0.01637120884723843,0,1,0,0,0,1,0,0,0,1,0.968586387434555,1.9390862944162437,0.9390862944162438,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1.0
82,-0.9636670837516595,-0.2068667541103162,0.14034785536821293,1195259,0.57,0,1,3,2.0,138.0,5,1124,1,79,194,12,0,3447,1,0,0,0,0,0,0,0,1,0.05632003479330632,0,1,0,0,0,1,0,0,0,1,1.0,1.5,0.5,1,0,1,0,1,1,1,0,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,1.0
4604,0.016771680935755408,0.13438768701036408,0.49176995689958136,46403683,0.0,0,0,1,1.0,27.0,1,7,1,79,0,0,0,503,0,0,0,0,0,0,0,0,1,0.025549971724440644,0,1,0,0,0,0,0,1,0,0,0.0,1.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1.0
5342,0.8045031288200227,1.5884191406827721,-0.2686414852049549,49729991,0.5,0,1,4,2.0,245.0,2,1125,1,81,12,12,1,1890,0,1,0,0,0,0,0,0,0,0.1145313968792789,0,0,1,0,0,1,0,0,0,1,2.0,2.0,1.0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,2.0
